B_E03_id;E03_type;B_E06_id;E06_type;id;superordinate;levelOfDescription;signature;E06_title;title;publisher_ID;publisherEntityType;publisher;scopeAndContent;representationType;creationDate;extent;contentType;creator_id;creatorType;creator;carrierExtent;E22_place_Id;E22_Place_Name
B_E03_315014;RecordSet;B_E06_315014_001;Instantiation;315014;E03_144727;Einzelstück;ZD.56.0.130_267.2;Instantiation of - Metall Zug geht es ohne V-Zug gut (Zuger Zeitung);Metall Zug geht es ohne V-Zug gut (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 189 Seite: 7  Maurizio Minetti;;17.08.2021;;Schriftgut;http://example.org/base/Maurizio Minetti;Person;Maurizio Minetti;;;
B_E03_144729;RecordSet;B_E06_144729_001;Instantiation;144729;E03_144727;Teildossier;ZD.56.0.130_267.2;Instantiation of - Metall Zug AG (elektronisches Dossier);Metall Zug AG (elektronisches Dossier);;;;;Papier (Born digital) (born digital);2020 - ;;Schriftgut;;;;;;
B_E03_344102;RecordSet;B_E06_344102_001;Instantiation;344102;E03_144727;Einzelstück;ZD.56.0.130_267.2;Instantiation of - Gemeinsam wollen sie stark sein (Zuger Zeitung);Gemeinsam wollen sie stark sein (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 34 Seite: 9 Untertitel: Die Kabelverarbeitungsspezialisten Komax und Schleuniger wollen fusionieren. Die Eigentümerin von Schleuniger die Metall Zug;;Undatiert;;Schriftgut;;;;;;
B_E03_145614;RecordSet;B_E06_145614_001;Instantiation;145614;E03_140000;Bestand;ZD.6;Instantiation of - Gesundheit. Sozialpolitik;Gesundheit. Sozialpolitik;;;;;;1930 - ;;Schriftgut;;;;;;
B_E03_145615;RecordSet;B_E06_145615_001;Instantiation;145615;E03_145614;Bestand;ZD.61;Instantiation of - Gesundheit;Gesundheit;;;;;;1931 - ;;Schriftgut;;;;;;
B_E03_151419;RecordSet;B_E06_151419_001;Instantiation;151419;E03_145615;Serie;ZD.61.2;Instantiation of - Gesundheit Kanton Zug;Gesundheit Kanton Zug;;;;;;1949 -;;Schriftgut;;;;;https://geo.ld.admin.ch/boundaries/canton/9;Kanton Zug
B_E03_145642;RecordSet;B_E06_145642_001;Instantiation;145642;E03_151419;Serie;ZD.61.2.111;Instantiation of - Spitäler. Pflegeheime Kt. Zug;Spitäler. Pflegeheime Kt. Zug;;;;;;1955 - ;;Schriftgut;;;;;https://geo.ld.admin.ch/boundaries/canton/9;Kanton Zug
B_E03_145668;RecordSet;B_E06_145668_001;Instantiation;145668;E03_145642;Dossier;ZD.61.2.111_10;Instantiation of - Zuger Kantonsspital;Zuger Kantonsspital;;;;Stichworte: bis Juli 2008: Kantonsspital Zug ehemals Bürgerspital Geburtsklinik Kanton Zug CT Computertomographen Kanton Zug Umnutzung Kantonsspital Zug Zukunft für den Kantonsspital (SVP-Motion 2001) Dr Oscar Weber-Stiftung Zug Kantonsspital Zug: Energiekonzept Kantonsspital Zug: Privatisierung Spitalinitiative lanciert 2009 abgelehnt 2010 Notfallpraxis der Zuger Ärzte;;1955 - ;;Schriftgut;;;;;;
B_E03_145669;RecordSet;B_E06_145669_001;Instantiation;145669;E03_145668;Teildossier;ZD.61.2.111_10.1;Instantiation of - Zuger Kantonsspital (Papierdossier);Zuger Kantonsspital (Papierdossier);;;;Anzahl Dokumente: 1516;Papier (Analog) (analog);1955 - 2020;4.00 Schachteln;Schriftgut;;;;;;
B_E03_145670;RecordSet;B_E06_145670_001;Instantiation;145670;E03_145668;Teildossier;ZD.61.2.111_10.2;Instantiation of - Zuger Kantonsspital (elektronisches Dossier);Zuger Kantonsspital (elektronisches Dossier);;;;;Papier (Born digital) (born digital);2020 - ;;Schriftgut;;;;;;
B_E03_145671;RecordSet;B_E06_145671_001;Instantiation;145671;E03_145642;Dossier;ZD.61.2.111_11;Instantiation of - Zuger Kantonsspital AG;Zuger Kantonsspital AG;;;;Stichworte: bis 2004: Spitalbetriebe Baar-Zug AG Sozialplan Spital Baar KIS Klinikinformationssystem Kanton Zug Fall Zimmermann Fall Edi Müller Knoblauch Rudolf;;1996 - ;;Schriftgut;;;;;;
B_E03_145672;RecordSet;B_E06_145672_001;Instantiation;145672;E03_145671;Teildossier;ZD.61.2.111_11.1;Instantiation of - Zuger Kantonsspital AG (Papierdossier);Zuger Kantonsspital AG (Papierdossier);;;;Anzahl Dokumente: 273;Papier (Analog) (analog);1996 - 2020;1.00 Schachteln;Schriftgut;;;;;;
B_E03_145673;RecordSet;B_E06_145673_001;Instantiation;145673;E03_145671;Teildossier;ZD.61.2.111_11.2;Instantiation of - Zuger Kantonsspital AG (elektronisches Dossier);Zuger Kantonsspital AG (elektronisches Dossier);;;;;Papier (Born digital) (born digital);2020 - ;;Schriftgut;;;;;;
B_E03_145646;RecordSet;B_E06_145646_001;Instantiation;145646;E03_145642;Dossier;ZD.61.2.111_2;Instantiation of - Klinik Adelheid AG Unterägeri;Klinik Adelheid AG Unterägeri;;;;Stichworte: Zuger Höhenklinik Adelheid Unterägeri ;;1969 - ;;Schriftgut;;;;;https://geo.ld.admin.ch/boundaries/municipality/1709;Unterägeri
B_E03_145647;RecordSet;B_E06_145647_001;Instantiation;145647;E03_145673;Teildossier;ZD.61.2.111_2.1;Instantiation of - Klinik Adelheid AG Unterägeri (Papierdossier);Klinik Adelheid AG Unterägeri (Papierdossier);;;;Anzahl Dokumente: 184;Papier (Analog) (analog);1969 - 2020;1.00 Schachteln;Schriftgut;;;;;https://geo.ld.admin.ch/boundaries/municipality/1709;Unterägeri
B_E03_222007;RecordSet;B_E06_222007_001;Instantiation;222007;E03_145673;Einzelstück;ZD.61.2.111_2.2;"Instantiation of - ""Wir lassen die Leute dort arbeiten wo sie wollen"" (Zuger Zeitung)";"""Wir lassen die Leute dort arbeiten wo sie wollen"" (Zuger Zeitung)";http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 262 Seite: 20  Kilian Küttel;;12.11.2020;;Schriftgut;http://example.org/base/Kilian Küttel;Person;Kilian Küttel;;https://geo.ld.admin.ch/boundaries/municipality/1709;Unterägeri
B_E03_317014;RecordSet;B_E06_317014_001;Instantiation;317014;E03_145673;Einzelstück;ZD.61.2.111_2.2;Instantiation of - Adelheid ist beste Arbeitgeberin (Zuger Presse);Adelheid ist beste Arbeitgeberin (Zuger Presse);http://example.org/base/Zuger Presse;CorporateBody;Zuger Presse;" Ausgabe: 47 Seite: 2 Untertitel: Die Rehaklinik Adelheid ist 2020 zur besten Arbeitgeberin in der Kategorie ""250 bis 999 Mitarbeitende"" gewählt worden. Die Klinik gewinnt die begehrte Auszeichnung bereits zum zweiten Mal.  (red.)";;07.12.2020;;Schriftgut;;;;;https://geo.ld.admin.ch/boundaries/municipality/1709;Unterägeri
B_E03_145648;RecordSet;B_E06_145648_001;Instantiation;145648;E03_145673;Teildossier;ZD.61.2.111_2.2;Instantiation of - Klinik Adelheid AG Unterägeri (elektronisches Dossier);Klinik Adelheid AG Unterägeri (elektronisches Dossier);;;;;Papier (Born digital) (born digital);2020 - ;;Schriftgut;;;;;https://geo.ld.admin.ch/boundaries/municipality/1709;Unterägeri
B_E03_146513;RecordSet;B_E06_146513_001;Instantiation;146513;E03_140000;Bestand;ZD.7;Instantiation of - Kultur. Medien. Sport;Kultur. Medien. Sport;;;;;;1866 - ;;Schriftgut;;;;;;
B_E03_146514;RecordSet;B_E06_146514_001;Instantiation;146514;E03_146513;Bestand;ZD.71;Instantiation of - Bildung. Forschung;Bildung. Forschung;;;;;;1866 - ;;Schriftgut;;;;;;
B_E03_151443;RecordSet;B_E06_151443_001;Instantiation;151443;E03_146514;Serie;ZD.71.2;Instantiation of - Bildung. Forschung Kanton Zug;Bildung. Forschung Kanton Zug;;;;;;1866 - ;;Schriftgut;;;;;https://geo.ld.admin.ch/boundaries/canton/9;Kanton Zug
B_E03_146686;RecordSet;B_E06_146686_001;Instantiation;146686;E03_151443;Serie;ZD.71.2.120;Instantiation of - Bibliotheken. Bildungshäuser Kt. Zug;Bibliotheken. Bildungshäuser Kt. Zug;;;;;;1968 - ;;Schriftgut;;;;;https://geo.ld.admin.ch/boundaries/canton/9;Kanton Zug
B_E03_146670;RecordSet;B_E06_146670_001;Instantiation;146670;E03_146686;Dossier;ZD.71.2.120_1;Instantiation of - Bibliothek Zug;Bibliothek Zug;;;;Stichworte:  Stadt- und Kantonsbibliothek Zug 1986 - 2011  Stadtbibliothek Zug  Leitung Biblikothek: Leuze Jasmin 2021 - ;;Undatiert;;Schriftgut;;;;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_146671;RecordSet;B_E06_146671_001;Instantiation;146671;E03_146670;Teildossier;ZD.71.2.120_1.1;Instantiation of - Bibliothek Zug (Papierdossier);Bibliothek Zug (Papierdossier);;;;Anzahl Dokumente: 583;Papier (Analog) (analog);1968 - 2020;1.00 Schachteln;Schriftgut;;;;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_321825;RecordSet;B_E06_321825_001;Instantiation;321825;E03_146670;Einzelstück;ZD.71.2.120_1.2;Instantiation of - Auf Stierli folgt Odermatt (Zuger Presse);Auf Stierli folgt Odermatt (Zuger Presse);http://example.org/base/Zuger Presse;CorporateBody;Zuger Presse; Ausgabe: 8 Seite: 5  Alina Rütti;;23.02.2021;;Schriftgut;http://example.org/base/Alina Rütti;Person;Alina Rütti;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_336484;RecordSet;B_E06_336484_001;Instantiation;336484;E03_146670;Einzelstück;ZD.71.2.120_1.2;Instantiation of - Kurzfilm zur Zuger Dokumentation (Zuger Presse);Kurzfilm zur Zuger Dokumentation (Zuger Presse);http://example.org/base/Zuger Presse;CorporateBody;Zuger Presse; Ausgabe: 41 Seite: 13  Claudia Schneider;;12.10.2021;;Schriftgut;http://example.org/base/Claudia Schneider;Person;Claudia Schneider;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_221479;RecordSet;B_E06_221479_001;Instantiation;221479;E03_146670;Einzelstück;ZD.71.2.120_1.2;Instantiation of - Enorme Zunahme bei den digitalen Medien (Zuger Zeitung);Enorme Zunahme bei den digitalen Medien (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: Nr. 67 Seite: 17 Untertitel: Die Bilanz der Bibliothek Zug für das Jahr 2020 ist in manchen Bereichen von der Covid-19-Pandemie beeinflusst worden.  Fabian Gubser;;22.03.2021;;Schriftgut;http://example.org/base/Fabian Gubser;Person;Fabian Gubser;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_334457;RecordSet;B_E06_334457_001;Instantiation;334457;E03_146670;Einzelstück;ZD.71.2.120_1.2;Instantiation of - Bibliothek neu dokumentiert (Zuger Zeitung);Bibliothek neu dokumentiert (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 237 Seite: 19  Harry Ziegler;;12.10.2021;;Schriftgut;http://example.org/base/Harry Ziegler;Person;Harry Ziegler;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_334429;RecordSet;B_E06_334429_001;Instantiation;334429;E03_146670;Einzelstück;ZD.71.2.120_1.2;Instantiation of - Das Geld steht im Mittelpunkt (Zuger Zeitung);Das Geld steht im Mittelpunkt (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung;" Ausgabe: 236 Seite: 16 Untertitel: Die Bibliothek Zug hat ihre Reihe ""Money Talk"" mit dem Thema Kryptowährungen gestartet.  Lilo Sterki";;11.10.2021;;Schriftgut;http://example.org/base/Lilo Sterki;Person;Lilo Sterki;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_314253;RecordSet;B_E06_314253_001;Instantiation;314253;E03_146670;Einzelstück;ZD.71.2.120_1.2;Instantiation of - Sie hat die Bibliothek fit gemacht (Zuger Zeitung);Sie hat die Bibliothek fit gemacht (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 179 Seite: 19 Untertitel: Das Anpacken und das Verändern liegt Pia Rutishauser im Blut. Die Bibliothek Zug hat davon profitiert. Kürzlich ist die gebürtige Bündnerin in Pension gegangen und verzichtet vorderhand auf einen klar strukturierten Plan für ihre Lebensgestaltung.  Marco Morosoli;;05.08.2021;;Schriftgut;http://example.org/base/Marco Morosoli;Person;Marco Morosoli;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_221797;RecordSet;B_E06_221797_001;Instantiation;221797;E03_146670;Einzelstück;ZD.71.2.120_1.2;Instantiation of - Wie 20 Tonnen Dokumente in die Bibliothek Zug gehievt werden (Zentralplus);Wie 20 Tonnen Dokumente in die Bibliothek Zug gehievt werden (Zentralplus);https://www.wikidata.org/wiki/Q58740011;CorporateBody;Zentralplus;;;13.11.2020;;Schriftgut;http://example.org/base/Markus Mathis;Person;Markus Mathis;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_321205;RecordSet;B_E06_321205_001;Instantiation;321205;E03_146670;Einzelstück;ZD.71.2.120_1.2;Instantiation of - Bibliotheken bleiben offen (Zuger Presse);Bibliotheken bleiben offen (Zuger Presse);http://example.org/base/Zuger Presse;CorporateBody;Zuger Presse; Ausgabe: 4 Seite: 3;;26.01.2021;;Schriftgut;;;;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_146672;RecordSet;B_E06_146672_001;Instantiation;146672;E03_146670;Teildossier;ZD.71.2.120_1.2;Instantiation of - Bibliothek Zug (elektronisches Dossier);Bibliothek Zug (elektronisches Dossier);;;;;Papier (Born digital) (born digital);2020 - ;;Schriftgut;;;;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_313973;RecordSet;B_E06_313973_001;Instantiation;313973;E03_146670;Einzelstück;ZD.71.2.120_1.2;Instantiation of - Bibliothek Zug gewährt Einblick (Zuger Zeitung);Bibliothek Zug gewährt Einblick (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 174 Seite: 23 ;;30.07.2021;;Schriftgut;;;;;https://geo.ld.admin.ch/location/address/101239133; St.-Oswalds-Gasse 21
B_E03_146800;RecordSet;B_E06_146800_001;Instantiation;146800;E03_146513;Bestand;ZD.72;Instantiation of - Kultur;Kultur;;;;;;1927 - ;;Schriftgut;;;;;;
B_E03_151448;RecordSet;B_E06_151448_001;Instantiation;151448;E03_146800;Serie;ZD.72.2;Instantiation of - Kultur Kanton Zug;Kultur Kanton Zug;;;;;;1935 - ;;Schriftgut;;;;;;
B_E03_146910;RecordSet;B_E06_146910_001;Instantiation;146910;E03_151448;Serie;ZD.72.2.160;Instantiation of - Kulturräume Kt. Zug;Kulturräume Kt. Zug;;;;;;1954 - ;;Schriftgut;;;;;;
B_E03_314730;RecordSet;B_E06_314730_001;Instantiation;314730;E03_146910;Einzelstück;ZD.72.2.160_5.2;Instantiation of - Eine Handprothese aus dem 3D-Drucker (Zuger Zeitung);Eine Handprothese aus dem 3D-Drucker (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 248 Seite: 25 Untertitel: Das Fablab Zug lädt zur ersten Werkschau ein. Zu entdecken gibt es allerlei Erfindungen sowie Kunst aus Stoffund Plexiglas.  Cornelia Bisch;;27.10.2020;;Schriftgut;http://example.org/base/Cornelia Bisch;Person;Cornelia Bisch;;;
B_E03_146929;RecordSet;B_E06_146929_001;Instantiation;146929;E03_146910;Dossier;ZD.72.2.160_7;Instantiation of - Theater Casino Zug;Theater Casino Zug;;;;Stichworte: TMGZ Theater- und Musikgesellschaft Zug Stiftung Theater Casino Zug Züfle Manfred: Die Werbung oder Margarete und der schwarze Toni;;Undatiert;;Schriftgut;;;;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
B_E03_146930;RecordSet;B_E06_146930_001;Instantiation;146930;E03_146910;Teildossier;ZD.72.2.160_7.1;Instantiation of - Theater Casino Zug (Papierdossier);Theater Casino Zug (Papierdossier);;;;Anzahl Dokumente: 1798;Papier (Analog) (analog);1954 - 2020;6.00 Schachteln;Schriftgut;;;;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
B_E03_220583;RecordSet;B_E06_220583_001;Instantiation;220583;E03_146910;Einzelstück;ZD.72.2.160_7.2;Instantiation of - Theater Casino: Katrin Kolo geht (Zuger Zeitung);Theater Casino: Katrin Kolo geht (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 52 Seite: 19 Untertitel: Die Zukunftsvorstellungen der Intendantin und des Vorstands gehen auseinander. Die Nachfolge ist noch unklar.  Andreas Faessler;;04.03.2021;;Schriftgut;http://example.org/base/Andreas Faessler;Person;Andreas Faessler;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
B_E03_316742;RecordSet;B_E06_316742_001;Instantiation;316742;E03_146910;Einzelstück;ZD.72.2.160_7.2;Instantiation of - Grosse Erwartungen an das Theater Casino (Zuger Zeitung);Grosse Erwartungen an das Theater Casino (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 194 Seite: 15 Untertitel: Das Zuger Kulturhaus am See befindet sich in einer Sondersituation – nicht nur wegen der Pandemie sondern auch wegen eines fragwürdigen Personalentscheides im vergangenen Frühjahr.  Andreas Faessler;;22.08.2021;;Schriftgut;http://example.org/base/Andreas Faessler;Person;Andreas Faessler;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
B_E03_221993;RecordSet;B_E06_221993_001;Instantiation;221993;E03_146910;Einzelstück;ZD.72.2.160_7.2;Instantiation of - Reduzierte Weiterführung des Betriebs im Theater Casino (Zuger Zeitung);Reduzierte Weiterführung des Betriebs im Theater Casino (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 263 Seite: 22 Untertitel: Die Einschränkungen sollen ab Dezember bis und mit Februar 2021 gelten.  Harry Ziegler;;13.11.2020;;Schriftgut;http://example.org/base/Harry Ziegler;Person;Harry Ziegler;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
B_E03_322101;RecordSet;B_E06_322101_001;Instantiation;322101;E03_146910;Einzelstück;ZD.72.2.160_7.2;Instantiation of - Von der Sehnsucht nach Erfüllung (Zuger Zeitung);Von der Sehnsucht nach Erfüllung (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung;" Ausgabe: 124 Seite: 18 Untertitel: Die Konzertcollage ""Meine Güte"" im Theater Casino Zug setzte sich mit Konsum Geld und Macht auseinander.  Haymo Empl";;01.06.2021;;Schriftgut;http://example.org/base/Haymo Empl;Person;Haymo Empl;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
B_E03_320487;RecordSet;B_E06_320487_001;Instantiation;320487;E03_146910;Einzelstück;ZD.72.2.160_7.2;Instantiation of - Verheissungsvolles Programm steht noch auf wackligen Beinen (Zuger Zeitung);Verheissungsvolles Programm steht noch auf wackligen Beinen (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 204 Seite: 23 Untertitel: Die aktuelle Saison der Theater- und Musikgesellschaft Zug ist eröffnet. Ihr geplantes Kulturprogramm beinhaltet 60 Produktionen.  Martin Mühlebach;;03.09.2021;;Schriftgut;http://example.org/base/Martin Mühlebach;Person;Martin Mühlebach;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
B_E03_321385;RecordSet;B_E06_321385_001;Instantiation;321385;E03_146910;Einzelstück;ZD.72.2.160_7.2;"Instantiation of - ""Das kommt nicht überraschend"" / Hoffnung auf die Impfquote (Zuger Zeitung)";"""Das kommt nicht überraschend"" / Hoffnung auf die Impfquote (Zuger Zeitung)";http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 209 Seite: 20 Untertitel: Ab Montag gilt in weiten Teilen des öffentlichen Lebens Zertifikatspflicht. Das sagen Zuger Akteure dazu.  Oliver Julier Linda Leuenberger;;09.09.2021;;Schriftgut;http://example.org/base/Oliver Julier Linda Leuenberger;Person;Oliver Julier Linda Leuenberger;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
B_E03_146931;RecordSet;B_E06_146931_001;Instantiation;146931;E03_146910;Teildossier;ZD.72.2.160_7.2;Instantiation of - Theater Casino Zug (elektronisches Dossier);Theater Casino Zug (elektronisches Dossier);;;;;Papier (Born digital) (born digital);2020 - ;;Schriftgut;;;;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
